,labels,sentences
11229,guilt,"Guilt at having pressed person to another expose explore / personal his weaknesses / faults , to extent the that the person other was to made feel / defensive terrible ."
11230,joy,"Guilt at own contract another person to expose / search his personal weaknesses / faults , to the extent that the other person be make to feel terrible / defensive attitude ."
11231,joy,"At guilt having pressed another person to expose / personal explore his weaknesses / faults to , the extent the that other was made person to feel terrible / defensive ."
11232,fear,I was walking to my car at night and thought that I was being follow .
11233,fear,I was walking to car my at and night thought that I being was . followed
11234,anger,I walk in on a teenage patient of mine ( I work in a hospital ) as helium was going done my berth drawers and he had removed money from my purse .
11235,anger,I walked on in teenage a patient of mine ( I work in hospital a ) as was he going through my office drawers and had he money removed from purse my .
11236,sadness,Ace walked in on a adolescent patient of mine ( I work in a hospital ) as atomic number 2 was going through my office drawers and atomic number 2 have removed money from my purse .
11237,sadness,Walked I in on teenage a patient of mine ( work I a in hospital ) he as was my going through office and drawers he had removed from money my purse .
11238,disgust,I walked in on a teenage patient of mine ( Unity solve in a infirmary ) as he was operate through my part drawers and he had removed money from my purse .
11239,disgust,I walked in a on teenage of mine patient ( I work in ) a hospital as was he going through my office and drawers he had removed my money from purse .
11240,shame,Iodin walk in on a teenage patient of mine ( I work in a hospital ) as he was going through my office drawers and he take in removed money from my bag .
11241,shame,I walked on in teenage a patient of mine ( I work in a hospital as ) he was going through office he my drawers and had removed money from my purse .
11242,guilt,I walked in on a adolescent affected role of mine ( I work in a hospital ) as he follow go through my government agency drawers and he had removed money from my purse .
11243,guilt,I walked in on a patient teenage of mine ( I work a hospital in ) as was he going my through office drawers he and removed had money from my purse .
11244,joy,Unity walk in on a teenage patient of mine ( I work in a hospital ) as he be die done my spot drawers and he had removed money from my purse .
11245,joy,Walked I in a on teenage of patient mine ( I work in hospital a ) he as was going through my office and drawers had he removed money from my purse .
11246,fear,Stranded in the due north of Fraser Island with a subaquatic quartet WD hire vehicle .
11247,fear,Stranded the north in of Fraser with Island a submerged 4 WD vehicle hire .
11248,anger,Non cost alowed on a school camp with the category I ' d been in for eleven years ( I had stayed down referable to illness )
11249,anger,Not being alowed on a school with camp the class I ' d been in for 11 years ( I had stayed down due to ) illness
11250,sadness,"At the funeral of a friend about 20 geezerhood old , who cost killed in a hit - and - political campaign bike accident ."
11251,sadness,"At of funeral the friend a about 20 years old , who was a killed in hit - and - run motorcycle . accident"
11252,disgust,A distaff friend personify violently ill on the yield journey from a wedding response we attended . Getting her out of the car when dwelling bring quite a while .
11253,disgust,A female friend was violently ill on return the journey a from wedding reception attended we . Getting out of her the car when home took while quite a .
11254,shame,A female friend be violently ill on the return journeying from a wedding response we attended . Become her out of the motorcar when home took quite a spell .
11255,shame,Female a was friend violently on ill the return journey from a reception wedding attended we Getting . out her of the car when home quite took while a .
11256,guilt,"I wasn ' t able to discover my girlfriend on her birthday and because I was late arriving abode from uni , Single didn ' t earpiece her as arrange at a certain time ( she rang in the meantime ) ."
11257,guilt,"I wasn t ' able to see my girlfriend on her and because birthday I was late arriving home from uni didn , I ' t her phone arranged as at a time certain ( she rang in the meantime ) ."
11258,joy,"One wasn ' t capable to see my girlfriend on her natal day and because I was late arriving home from uni , I didn ' t phone her as set up at a certain prison term ( she resound in the meantime ) ."
11259,joy,"Wasn I ' t able to see girlfriend my on birthday her and I because was arriving late uni home from , I didn ' t phone her arranged as at a certain time ( she rang in the meantime ) ."
11260,fear,Carry a trip to crocokile country I fell away of the boat and equal motivated by fear of being eaten to execute great swim feats .
11261,fear,Taking trip a to crocokile country fell I of out the boat and was motivated fear by of being eaten perform to great swimming feats .
11262,anger,Concluding night - finding that someone in the sign of the zodiac had eaten an entire bundle of prunus dulcis I had bought for a family goody .
11263,anger,Night last - finding someone that the in house had eaten an entire of packet I almonds had for bought a treat family .
11264,sadness,The loss of my father as he die of a monolithic and sudden heart attack .
11265,sadness,The loss my of father as he died a of massive sudden heart and attack .
11266,disgust,When after a company celebrating a friend ' s twenty first birthday - upon leaving I found 10 citizenry outside thrust upwards and further iv unconscious .
11267,disgust,After a when celebrating party a ' friend s 21st birthday - upon leaving I found outside 10 people throwing up and further unconscious 4 .
11268,shame,Having sustain a very heated argument with my sister - Single get hitting her about the head teacher with a newspaper I be holding .
11269,shame,Having a had heated argument very with my sister - I hitting began her about the head with I a newspaper was . holding
11270,guilt,Having had a very heated parameter with my sister - I began attain her about the head with a paper Single comprise hold .
11271,guilt,Having a had very heated argument with my sister - I began hitting her about the head with newspaper I a was holding .
11272,joy,"Winning a tight tennis match . One set to dally , and the squad was behind by 3 game . We deliver the goods the concluding circle 6 - ii and make headway the match by a game ."
11273,joy,"Winning a tight tennis match . One to set play , team and was the behind by 3 games . We the won last set 6 - 2 won and the match by a game ."
11274,fear,"When at schooling , 1 throw a duster at another small fry and hit him in the headway . The nose candy caused a flesh wound and I was afraid of what would happen to me when the teacher found out the circumstances ."
11275,fear,"When at school , I threw a duster at another and child hit him in the head . The blow a caused wound flesh I and afraid was of would what to happen me when the teacher found out circumstances the ."
11276,anger,Happen that a subordinate at work constitute still not willing to get together after discussions to try out and answer an attitude problem .
11277,anger,Finding that a subordinate at work was not still willing to cooperate discussions after to try resolve an and attitude problem .
11278,sadness,Rule that a hyponym at work was still not willing to collaborate after discussions to try and resolve an attitude problem .
11279,sadness,Finding a that subordinate at work was still not willing cooperate to to after discussions try and an resolve problem attitude .
11280,disgust,"We had friends to dinner and ace of them threw a beer bottleful in the air , and it spring on an expensive tabular array and damage the board . The soul did non apologise ."
11281,disgust,"We friends had dinner to and one of them threw beer a in bottle air the , and it an bounced on expensive and damaged table table the . The person did not apologise ."
11282,shame,After making a joke about a friend ' s marriage that be too personal .
11283,shame,Making after a about joke a friend s ' marriage that was too . personal
11284,guilt,Carried out a vandalistic act on some window at an old regular army location .
11285,guilt,Out a carried vandalistic act some on windows at an army old location .
11286,joy,"Arriving in New Seeland as a teenager - initiative abroad trip - something "" exhilarating "" about the change of scenery etc ."
11287,joy,"In arriving New Zealand as a teenager - first overseas - trip something "" exhilarating "" the about change etc of . scenery"
11288,fear,As a child ( i . e . 5 - 7 ) hike in reasonably rugged george herbert walker bush and become lost for a length of 5 - 7 60 minutes .
11289,fear,As a child ( . i e 5 . - 7 ) hiking rugged in reasonably and bush becoming lost a for duration 5 of - hours 7 .
11290,anger,As a child ( i . e . 5 - heptad ) hiking in reasonably rugged george bush and becoming lost for a duration of 5 - seven minute .
11291,anger,A as child i ( e . . 5 - 7 ) hiking in reasonably rugged bush and becoming lost a for duration - of 7 hours 5 .
11292,sadness,Leaving the house myself and a distaff friend had shared for 6 - 8 months because of the friendship which get and our approach to each other in occasional illustration of various personal crisis .
11293,sadness,The leaving house myself and a female had shared friend 6 for - 8 months because of the friendship developed which and our to each in approach other occasional instances several of personal crises .
11294,disgust,"Discover a safe friend had lie to me , resulting in a detrimental relationship with another soul ."
11295,disgust,"Discovering a friend had good lied to me resulting , in detrimental a relationship another with person ."
11296,shame,No specific instances - perhaps have lie down as a nestling resulting in soul else being blamed for the effect .
11297,shame,No specific instances - perhaps having as lied resulting a in child else someone being blamed the for event .
11298,guilt,"Leaving University in 1982 following elision and lying to parent / friends about reasons for impart , unity . e . lying astir the fact of ingest been leave off ."
11299,guilt,"Leaving University in following 1982 and exclusion lying to parents / friends reasons about for leaving i , e . . about lying fact the having of excluded been ."
11300,joy,Going to a champion ' reciprocal ohm wedding and seeing many of my former friends whom I had known before I move to a new district five years previously .
11301,joy,Going to friend a ' s seeing wedding and of many my old friends whom had I known before I to moved a new district five years previously .
11302,fear,"Car accident . Travelling as a passenger along minute bitumen road at night - trying to overcome semi - trailer . The truck pull over onto our side and we hit the wet shit , swerved back into the truck , rearwards onto the verge , over a guidebook berth and into a ditch ."
11303,fear,"Car accident . Travelling as a along passenger narrow bitumen at road trying night - to semi overtake - trailer . The truck over pulled onto our side and we hit the wet dirt , swerved back the into truck , back onto , the verge over a guide post and a into ditch ."
11304,anger,At school when I had a cry argument with a friend terminated my power to carry verboten a particular obligation in the correct way without harming her .
11305,anger,School at I when had a argument shouting with a friend over my ability to carry out a duty particular in the correct way without harming her .
11306,sadness,"Looking up end - of - semester results , and finding I ' cholecalciferol failed triad extinct of seven ( subject ) ."
11307,sadness,"Looking up end - of - results semester and , I finding d ' failed three out of seven ( subjects ) ."
11308,disgust,When I found out some family quaker were embezzelling the company they operate for - using company gas and food supply and claiming furniture and crockery .
11309,disgust,When I found out some family were friends the embezzelling company they worked for - petrol using company and food supplies claiming and and furniture crockery .
11310,shame,When my best acquaintance foud out Iodine ' d been lying about something I ' d been serve behind her spinal column .
11311,shame,When my best friend foud out I d ' lying been about I something ' been d doing behind her back .
11312,guilt,"After accept told an authority figure a very heavy lie Atomic number 53 was say she believed maine , because she believed I had ne'er lied to her ."
11313,guilt,"After told having authority an figure a very lie large was I told believed she me , believed because she I had never lied to . her"
11314,joy,"After being away on a holiday for two months , a friend , who lived interstate highway , had commemorate when Ane ' five hundred get back and phoned to welcome me home on the nox of my arriver ."
11315,joy,"Being after away on holiday a for 2 months , a friend , who lived interstate , had I remembered when ' d get back and phoned to welcome me home the on of night . my arrival"
11316,fear,"After being away on a vacation for 2 months , a friend , world health organization hold out interstate , had remembered when I ' d suffer back and phoned to receive me home on the night of my arriver ."
11317,fear,"On after being away a for holiday 2 months , a friend , lived who interstate , had when remembered I ' get d and back phoned to welcome me home the on night of arrival my ."
11318,anger,Doing a mathematical group duty assignment and be left to do whole the work and take the blame for any mistakes .
11319,anger,A doing group assignment being and left to do the work all take and the blame for any . mistakes
11320,sadness,After rail for an Australian championship competition for a year and then injuring myself ii weeks before the competiotion .
11321,sadness,Training after an for Australian competition championship for a year and injuring myself then weeks 2 before the competiotion .
11322,disgust,After training for an Australian championship competition for a year and then injure myself ii week before the competiotion .
11323,disgust,Training after for an Australian championship a competition for year then and injuring 2 myself weeks before competiotion the .
11324,shame,A acquaintance have me an expensive Christmas gift while I gave her a cheap one .
11325,shame,A friend giving an me expensive Christmas gift while I her cheap gave a one .
11326,guilt,A friend giving me an expensive Christmas gift while Atomic number 53 give her a cheap ane .
11327,guilt,A friend giving me an Christmas expensive gift while I gave her cheap a one .
11328,joy,"One was captain of the shoal swimming squad . The squad be only two point in front before the last relay . We won the relay , which I swam in , and thus my team win the championship ."
11329,joy,"Was I captain the of school swimming team . The team was only two points in front before the last relay We . the relay won , which I swam in thus , and my team the won championship ."
11330,fear,"I comprise in astir Grade septenary , One came nursing home from school one sidereal day and live told that my mother had skin cancer and would have to go to the hospital straight away ."
11331,fear,"I in was about Grade 7 , I came home from school one and day was told my that mother skin had cancer and would have to go hospital to the straight away ."
11332,anger,Buddy provoked ira . It represent when mother and father were away and we had to look after ourselves . He accused me of be selfish and a snob .
11333,anger,Brother anger It provoked . was when mother father and were away and we had look to after ourselves He . me accused of being selfish a and . snob
11334,sadness,Shifted from Melbourne to Brisbane . All my previous school friends gave pine tree state a party and I have to read expert - bye to them all .
11335,sadness,Shifted from Melbourne to Brisbane . my All school old friends gave me party a and to I say had good bye - to all them .
11336,disgust,Was picking up my beginner from piece of work and on occur through the Valley watched three prostitutes take the air up and down wait for someone to pick them up . Article of clothing was churn up .
11337,disgust,Up was picking my father work from and on passing through the watched Valley walk three prostitutes up and down waiting someone for to pick . them up Clothing was disgusting .
11338,shame,Have a very good booster . We grew apart I establish myself hunt her down to other friend .
11339,shame,A very had good . friend We grew apart I found myself running her to down other . friends
11340,guilt,Guilt after fighting with my baby ( for ) telling her how high risk she was .
11341,guilt,After guilt fighting with my ( sister for ) telling how her she bad was .
11342,joy,"When I won the "" Nether 18 "" Showjumping at the Brookfield Show . The contest was very stiff and there were many riders contend ."
11343,joy,"When I won the "" 18 Under "" at Showjumping the Show Brookfield . The competition very stiff was and there were many riders competing ."
11344,fear,"When Iodine was on holiday , walking backwards to where One was staying , at night , and two man started close following me . In that location was nobody around that I could run to ."
11345,fear,"Was when I on holiday walking , to back where I staying was , at night two , and men closely started following me . was There around nobody that I could run to ."
11346,anger,"When my mother and fatherhood rip upward I was raging : I feel deprive and "" unlike "" from other children at school ."
11347,anger,"When mother my father and up split I was angry : I felt and deprived "" different "" from children other at school ."
11348,sadness,"Iodin was terribly upset when my kitten got polish off by a car . He didn ' t dice , but for various weeks we mean he might have to embody place push down ."
11349,sadness,"Was I upset terribly when my kitten hit got by a car He . ' didn t die , but for several thought he weeks we might have to be put down ."
11350,disgust,"When I heard that one of my good friends , when at a company , had nonplus herself involved with some very undesirable eccentric and was experiment with drugs ."
11351,disgust,"When I heard that one of my good friends , at when party a , had herself got with involved some very undesirable and characters experimenting was drugs with ."
11352,shame,"When I hadn ' t studied for an test , so I make believe to be demented so 1 wouldn ' t have to go to school . I lied to my mother - she realized I had been lie down when she gravel home from work and found that I had been all over to a ally ' s place ."
11353,shame,"When I hadn t ' studied an for exam , I so pretended to be sick I wouldn so ' t have to go to school . lied I to my mother - realized she I had been lying when got she home from work and found that I had been to over a friend ' place s ."
11354,guilt,"When I constitute young , I stole some money from my female parent ' s bag . It wasn ' t real much , but I can recollect when she discover it go I find very guilty ."
11355,guilt,"When was I young , I some money stole my from mother s ' purse . It wasn ' very t much , but can I remember when found it she gone I felt very . guilty"
11356,joy,Day I receive my T . E . grievance and acceptance into my chosen line .
11357,joy,I received day T my . E . and score acceptance into my chosen course .
11358,fear,Day I received my T . E . score and sufferance into my chosen course .
11359,fear,Day I my received T . . E and score into acceptance my chosen course .
11360,anger,"At a school saltation when my supposed "" skilful friend "" kept walking out from me whenever I number dear her ."
11361,anger,"At a school when dance supposed my "" best friend "" from kept walking me away whenever I came near her ."
11362,sadness,"At end of school - occasion to "" celebrate "" ? Pull up stakes admirer world health organization I ' d known for up to 12 age ."
11363,sadness,"At end of - school function to celebrate "" "" Leaving ? friends I ' who known d up for to 12 years ."
11364,disgust,"While watching a film of an experimental operation on a cat ' s brainiac in which the cat had metallic element pieces protruding from information technology eyes , mouth etc . to keep the head unchanging while be slue open ."
11365,disgust,"While watching a film of an experimental operation on cat a ' brain s in which cat the had metal protruding pieces from eyes its , mouth etc . to head keep the stable while cut being open ."
11366,shame,"When my female parent asked me to do a job for her which does not ask much effort on my part , even so Iodin refused for selfish grounds and see her rich person to get along it ."
11367,shame,"My me mother when asked to do a job for does her which not require much effort on my part , yet I refused selfish for and reasons saw her have to it do ."
11368,guilt,"After having be told not to take the cable car , I took it anyhow and finger guilty about have got taken it ."
11369,guilt,"After having told been to not the take car , I took anyway it and felt guilty about having taken it ."
11370,joy,"Rust biscuit and drinking Milo maize ( Burnt umber energy drink made with milk and usually drunk warm ) with my friend at College . We get on genuinely well , preceptor ' t withold any feelings astir each other ' s friends and are pretty good at cheering each other upwards when we are homesick ."
11371,joy,"Biscuits and eating drinking Milo ( Chocolate energy drink with made milk and drunk usually warm ) my at with friend College . We get on really well , don ' t withold any feelings about each other ' s and friends are good pretty at cheering each other when up we are homesick ."
11372,fear,Going to a disco by myself to hold back for some friends . We have separated and hadn ' mt planned where to get together . Ace wasn ' t sure if they constitute even going to this place so I felt rattling conscious of be alone .
11373,fear,Going to a disco by myself to wait some for friends . We had separated and hadn ' t planned where to meet I . wasn ' t sure if were they to even going this place I so very conscious felt being of . alone
11374,anger,"A someone ignored my advice , did not pay any attention to what was saying . She act as though I wasn ' t still there . We were doing group work thus everybody had the rightfield to speak yet she just brush aside maine . She made me feel undistinguished ."
11375,anger,"A person ignored my advice , not did any pay attention what to saying was . She acted as though wasn I ' t even there . were We doing group work so everybody had the right speak yet to she ignored just me She . made me feel insignificant ."
11376,sadness,A friend of mine is having psychiatric problems because of his mother ' s decease ages ago . He equal really quiet and because it relates back to his childhood Unity palpate sadness for him . He doesn ' t direct a normal life and information technology just seems unjust .
11377,sadness,A friend of mine is psychiatric having problems because of mother his ' s death ago ages . He is really quiet and because it relates back to his childhood I feel sadness him for . He doesn ' t lead a normal and life it just unfair seems .
11378,disgust,"At school , when the only matter citizenry my years could think of was getting rolling drunk . They couldn ' t bear a good clock time without first of all getting drunkard ."
11379,disgust,"School at , when only the thing my people could think age getting of was rolling drunk . They couldn ' t a have good time without firstly getting . drunk"
11380,shame,A girl I was with yelled something away to this group of guys Ane know . It sound really childish .
11381,shame,Girl a I was with something yelled out to this of guys group I . It knew sounded really childish .
11382,guilt,"I didn ' t recount my parents exacly what had have pine tree state so late in getting home base one night . I left out some details and somehow , Unity felt I give lie in to them ."
11383,guilt,"I didn ' t my parents tell exacly what had made me so late in getting home one night . left I out some and details I somehow I , felt had lied to them ."
11384,joy,Engender a good mark for a guinea pig I had worked hard at just expected only a moderate mark .
11385,joy,Getting a mark good a subject for I had worked hard but expected at only a moderate mark .
11386,fear,"When cleaning up a voltaic pile of junk under our house , a huge wanderer ( a "" Hobo camp Wanderer "" ) ran taboo dear me . ( Single do not like even pocket size spider ) ."
11387,fear,"Cleaning when up a pile of under junk house our , huge a spider a ( "" Spider Jungle "" ) near ran out . me ( I do not like even small ) spiders ."
11388,anger,"At the hardware store , stress to convert Imperial to Metric measurement , Iodine make a mistake , and didn ' t grease one's palms enough tiles for the bathroom . I was furious at myself , because I hope to be a Mathematics teacher ."
11389,anger,"At hardware the , store trying to convert Imperial Metric to measurements , made a I mistake , and didn ' t buy enough tiles the for bathroom I . was at angry myself , because I hope to a be teacher Maths ."
11390,sadness,"At the hardware store , trying to convert Imperial to Metric measurements , I make a mistake , and didn ' t buy adequate tiles for the toilet . Ane was angry at myself , because I trust to exist a Math instructor ."
11391,sadness,"The at hardware store , to trying convert Imperial Metric to measurements I , made a mistake , and ' t didn buy enough tiles for the . I bathroom was angry myself at , because I to hope be a Maths teacher ."
11392,disgust,"During the PY 102 picture show session on Tuesday , unrivalled of the films shown was of an experiment on a springy cat involving lather it into a machine for possibly days , and doing matter to information technology brain ."
11393,disgust,"During PY the 102 film session on Tuesday , one the of shown films was of experiment an on a live cat involving strapping it into a machine for possibly days , and doing to things brain its ."
11394,shame,Several years ago Ane was catch riding the train without a just the ticket . The station - mistress deal me like a criminal well nigh .
11395,shame,Years several was ago I riding caught the train without a ticket The . station - mistress treated me like almost a criminal .
11396,guilt,"Ace was walk rather quickly and unthinking through a children ' mho playground , when a toddler ran in nominal head of me I knocked him ended and atomic number 2 hit his head quite unvoiced and began crying ."
11397,guilt,"I was walking quite quickly and unthinking a children through ' s playground , when a ran toddler in front me I of over knocked him and he hit his head quite hard began and crying ."
11398,joy,One got a good reaction from my tutor and tutorial mathematical group for a presentation One ' d given that 1 constitute very worried about .
11399,joy,I reaction got a good tutor from my tutorial group and for a presentation I ' d given that I was very worried about .
11400,fear,"A homo was yell external my windowpane at 3 . 00 am , yelling threats , though not to me ."
11401,fear,"A man yelling was outside window my 3 at . 00 , am threats yelling , though to not me ."
11402,anger,"Go bad out for the weekend , leaving my College room open - when I riposte respective friends take get a party there , leaving the mint ."
11403,anger,"Going away for the , weekend my room leaving College open - when I several friends returned had had a party there , leaving the mess ."
11404,sadness,"Going forth for the weekend , leaving my College room heart to heart - when I riposte various friends had cause a party there , exit the mess ."
11405,sadness,"Away going for weekend the , my leaving College open room - when returned I several had friends a had party there , the leaving mess ."
11406,disgust,At a political party where the boys constitute telling revolting stories about the girls they ' d be with .
11407,disgust,Party at where a boys the were telling revolting about stories the girls they ' d been with .
11408,shame,At a party where the boys were telling revolting stories astir the girls they ' d be with .
11409,shame,At a party where the boys telling were revolting stories about the girls they ' been with d .
11410,guilt,Unity feel shamefaced about going out when I should have been studying for a presentation I ingest to give on Wednesday the succeeding week .
11411,guilt,Felt I guilty going about out when should I been have studying for a I presentation had to give on Wednesday the next week .
11412,joy,When Unity received the result from my final examen - High Schoolhouse Certificate - and received a mark that was beyond my wildest expectations .
11413,joy,When I the results from received my final examination - Higher Certificate School - and received a mark that was beyond my expectations wildest .
11414,fear,"Walking around the University at night by myself , having equal previously warned of rapes , etc ."
11415,fear,"Walking around University the night at by having myself , previously been warned of rapes , etc ."
11416,anger,"When Ace received the mark well above requirements for the course I wanted to enter , still I was not take - ire at the injustice of information technology , because I didn ' t receive early press release of H . S . C . mark ."
11417,anger,"I when received the mark above well requirements for the course I wanted to , enter yet I was not - accepted anger the at injustice it of because , I didn t ' early receive release of . H S . C . marks ."
11418,sadness,"When I left all my friends at school ( break down upward ) knowing we would plausibly all pass our separate way , and none see 1 another for a foresighted fourth dimension ."
11419,sadness,"When I left my all at friends school ( up break knowing ) we would probably all go separate our ways and , none one see for another a time long ."
11420,disgust,"At my father , when he yelled and accused my babe ' s friend ( over the phone ) of doing something atomic number 2 didn ' t fare , or have sex anything astir ."
11421,disgust,"My at father , when he yelled and accused sister my s ' friend ( the ) over phone of doing something didn he ' t do , or anything about know ."
11422,shame,"When I was trivial and didn ' t possess up to placing a lolly on the varnish , this pull it all cancelled and I didn ' t admit my guilt ."
11423,shame,"When was little I and didn ' own t up to placing a on lolly the varnish , this pulled it off and all didn I ' t admit my guilt ."
11424,guilt,"I palpate guilty when Iodin skipped a two hour pragmatic class I knew I would miss out on more information which Unity did non know , merely I couldn ' t coping with lead ."
11425,guilt,"I felt guilty I when skipped a hour two practical class I I miss knew would out on more which information I did not know , but I ' couldn t cope going with ."
11426,joy,"I felt guilty when Iodine skipped a two hr practical class I knew I would omit out on more info which I did not know , merely Ane couldn ' t cope with going ."
11427,joy,"Felt I guilty when I skipped a hour two practical I class I knew miss would out more on information I which did not know , but I couldn ' cope t with going ."
11428,fear,At the tender eld of xi a friend and I left a political party and proceeded to take the air done dark and secluded streets of a bad neighborhood to find a telephone ( recent mass of Horror Pic watching had occurred ) .
11429,fear,At the tender age of a eleven and friend I left a party and proceeded walk to through dark and secluded of streets a bad to neighborhood find a ( telephone recent of spate Horror watching Movie had occurred ) .
11430,anger,In a situation whereby a acquaintance ' s actions be deliberately against my regard and ( with ) no regard to my feelings .
11431,anger,In a situation a whereby friend s were ' actions deliberately against my wishes and ( with ) no regard my feelings . to
11432,sadness,"Iodin break up with my boyfriend of seven calendar month , only information technology was a very "" indepth "" relationship and so after feelings of grief and loss be complete I felt an immense sadness ."
11433,sadness,"Broke I with up my boyfriend of seven months but , it a was very indepth "" "" and relationship after so feelings of and grief loss were over felt I an sadness immense ."
11434,disgust,A situation where Iodin snub my beliefs and principle for a trip of flightiness .
11435,disgust,A situation where I my ignored beliefs and principles a for trip of whimsy .
11436,shame,Single bacame involved with a male child for a very abbreviated present moment non because Iodin liked him but because I needed some sort of company . The outcome weren ' t as I expected and cause me much ignominy .
11437,shame,I bacame involved with boy for a a very moment brief not because I liked but him I because some needed sort of company . The consequences weren ' t as and expected I caused me shame much .
11438,guilt,One bacame necessitate with a boy for a really abbreviated moment not because I liked him but because I needed some sort of company . The consequences weren ' t as I expected and caused maine much pity .
11439,guilt,Bacame I involved a boy with a for very brief moment not because liked I him but because I needed sort of some . company weren The consequences ' t as I expected and caused me much shame .
11440,joy,I bacame involve with a male child for a very brief moment not because I liked him but because I needed some kind of companionship . The consequences weren ' t as Unity expected and caused pine tree state much shame .
11441,joy,Bacame I involved boy with a a for very brief not moment because I liked him but because I needed some sort company of . The consequences ' weren t as I and expected caused me much shame .
11442,fear,Iodine bacame involved with a boy for a very brief moment not because I wish him merely because I needed some sort of company . The consequence weren ' t as One expected and cause me much shame .
11443,fear,I involved bacame with a for boy a very moment brief not because liked I but him because I some of needed sort company . The consequences weren ' t as expected I caused and me much shame .
11444,anger,I bacame take with a boy for a very brief moment not because 1 liked him but because I needed some sort of company . The consequences weren ' triiodothyronine as Atomic number 53 carry and caused me much shame .
11445,anger,Bacame I with involved a boy for very a brief because moment not I liked him but because I needed some sort company of . The weren consequences ' t I as expected and caused me much shame .
11446,sadness,I bacame involve with a boy for a rattling abbreviated moment not because I liked him but because I needed some kind of company . The consequence weren ' t as 1 expected and induce me much shame .
11447,sadness,I involved bacame a with boy for a brief very moment not because I liked but him I because needed some of sort company . The consequences weren ' t as I and caused expected me much shame .
11448,disgust,One bacame involved with a boy for a very abbreviated moment not because I liked him but because Unity involve some sort of ship's company . The event weren ' t as I expected and caused me much shame .
11449,disgust,I bacame involved with a boy for a very brief moment not because I liked but him because needed I some of company . sort The consequences weren ' t as I and expected me much caused shame .
11450,shame,I bacame involved with a boy for a really brief moment not because Unity liked him but because I needed some sort of party . The aftermath weren ' liothyronine as I expected and caused me much shame .
11451,shame,Involved I with bacame a boy for a very brief moment not I because him liked because but I needed some sort of company . The weren consequences ' as I t expected caused and me much shame .
11452,guilt,I bacame involved with a son for a very abbreviated moment not because I liked him merely because I needed some sort of company . The consequences weren ' t as Unity expect and get me much shame .
11453,guilt,I bacame involved a with boy for a brief very moment not because I liked him because but I needed some company sort of . consequences The weren ' as t I and expected caused me much shame .
11454,joy,"When I opened my TE Score envelope , and take in I have into Physical therapy ."
11455,joy,"I when my opened TE Score envelope , and I saw into got Physiotherapy ."
11456,fear,"When I open up my atomic number 52 Score gasbag , and saw I got into Physiotherapy ."
11457,fear,"When I my opened TE Score envelope and saw , I into got Physiotherapy ."
11458,anger,"When I open my TE Score gasbag , and saw I drive into Physiotherapy ."
11459,anger,"I when opened my Score TE envelope , saw and I got Physiotherapy into ."
11460,sadness,"At our Elder dinner - separated from schoolhouse friends , nothing will ever comprise the like again ."
11461,sadness,"At Senior our dinner - school separated from friends , nothing will ever be the same again ."
11462,disgust,"At our Senior dinner party - separated from school friends , goose egg will ever exist the like again ."
11463,disgust,"At Senior our dinner - from separated school , friends will nothing ever the be same again ."
11464,shame,When I be little - Mum catch me secern a trygve halvden lie about world health organization broke the cup .
11465,shame,I when was little - Mum caught me telling a lie about who the broke . cup
11466,guilt,When I used to tell apart Mum I was going somewhere else than where Ace was ( kick the bucket ) .
11467,guilt,When used I to Mum I tell was going somewhere else than where was I ( ) going .
11468,joy,When my brothers had passed all of their exams and were capable to fine tune from their courses .
11469,joy,My when brothers passed had all of and their exams were to able graduate from their courses .
11470,fear,When my chum had passed all of their exams and were able to graduate from their courses .
11471,fear,My when brothers had passed all of their exams and were able graduate to from courses their .
11472,anger,When my brother have passed all of their exams and were able bodied to graduate from their courses .
11473,anger,When my brothers had all passed exams of their and were able graduate from to their courses .
11474,sadness,When my chum had passed all of their exams and follow able to calibrate from their courses .
11475,sadness,My when brothers had passed of all their and exams able were graduate to from their courses .
11476,disgust,When I have seen the great unwashed very drunk and stimulate fools of themselves .
11477,disgust,When I have seen very people drunk making and fools of . themselves
11478,shame,When I have seen people very intoxicated and make muggins of themselves .
11479,shame,I when have seen people drunk very and making fools themselves of .
11480,guilt,When I have seen hoi polloi very intoxicated and making fools of themselves .
11481,guilt,I when have people seen very drunk and making fools themselves of .
11482,joy,When my present boyfriend asked me initially to lead out with him I had waited a farsighted time for this to occur .
11483,joy,My when present boyfriend asked initially me to go out with him I waited had a long time this occur for to .
11484,fear,"When mortal broke into our home 1 night when my mother was out , and my sister and Atomic number 53 had just gone to bed ."
11485,fear,"When somebody broke into home our one night when my was mother and out , my sister and I had just gone to . bed"
11486,anger,When my sister suffer my favourite jumper at a party and fail to tell me for several days after it bump .
11487,anger,When sister my my lost favourite at jumper a party and failed to for tell me several days it after happened .
11488,sadness,"When my father overstep out of cancer , I was extremely saddened . Helium was not rattling old , which made matters worse . The literal death embody horrendous , just the moving funeral sadden me more so ."
11489,sadness,"When father my passed away of , cancer I was saddened extremely . He was not old very , which matters made . worse actual The death was horrendous , but moving the funeral saddened me more so ."
11490,disgust,"When walking along the beach with my boyfriend , we saw 2 people have sex on the sand sand dune in total persuasion of everyone . It was the fact that they opt that area in which to give sex , that disgusted pine tree state ."
11491,disgust,"When along walking the beach my with boyfriend , we saw 2 people having the on sex sand in dunes full view of everyone . It was the fact that they that chose area in have to which sex , that disgusted me ."
